,actor_id,actor_name,degree_centrality
1497,nm0005405,Seann William Scott,0.0010414187098309927
9834,nm0523344,Lynn Lowry,0.0010414187098309927
3114,nm1046097,Rachel McAdams,0.0010414187098309927
3322,nm1113550,Abigail Breslin,0.0010414187098309927
1600,nm0438463,Anil Kapoor,0.0010414187098309927
1717,nm0004395,Adam Scott,0.0010414187098309927
165,nm0000139,Cameron Diaz,0.0010414187098309927
3052,nm0000321,Gabriel Byrne,0.0010414187098309927
1843,nm0004754,Jessica Biel,0.0010414187098309927
246,nm0000449,Natasha Henstridge,0.0010414187098309927
208,nm0000947,Karen Black,0.0010414187098309927
2499,nm0180411,Abbie Cornish,0.0010414187098309927
2422,nm0001705,Rob Schneider,0.0010414187098309927
8274,nm0565250,Melissa McCarthy,0.0010414187098309927
999,nm0005110,Ashton Kutcher,0.0010414187098309927
109,nm0001772,Patrick Stewart,0.0010414187098309927
1119,nm0004742,Maria Bello,0.0010414187098309927
3867,nm0205626,Viola Davis,0.0010414187098309927
130,nm0159789,Hayden Christensen,0.0010414187098309927
124,nm0001833,Emily Watson,0.0010414187098309927
3729,nm0700712,Dominic Purcell,0.0010414187098309927
8487,nm0164809,Jason Clarke,0.0010414187098309927
1015,nm0000210,Julia Roberts,0.0010414187098309927
4601,nm0489436,Robert LaSardo,0.0010414187098309927
8030,nm2028004,Ry Barrett,0.0010414187098309927
653,nm0001439,Anthony LaPaglia,0.0010414187098309927
622,nm0001570,Edward Norton,0.0010414187098309927
2,nm0000630,Liev Schreiber,0.0010414187098309927
2012,nm0924684,David A.R. White,0.001011663889550107
410,nm0000661,Donald Sutherland,0.001011663889550107
464,nm0000148,Harrison Ford,0.001011663889550107
110,nm0000463,Famke Janssen,0.001011663889550107
2298,nm0000803,Christopher Atkins,0.001011663889550107
295,nm0339304,Bruce Greenwood,0.001011663889550107
596,nm0451148,Aamir Khan,0.001011663889550107
757,nm0608090,Samantha Morton,0.001011663889550107
6628,nm2605345,Gemma Arterton,0.001011663889550107
974,nm0908094,Paul Walker,0.001011663889550107
61,nm0000513,William H. Macy,0.001011663889550107
1052,nm0001473,Laura Linney,0.001011663889550107
671,nm0000502,Christopher Lloyd,0.001011663889550107
3765,nm0134244,Nick Cannon,0.001011663889550107
7412,nm0736622,Seth Rogen,0.001011663889550107
588,nm0001648,Charlotte Rampling,0.001011663889550107
7267,nm0002907,Alexander Skarsgård,0.001011663889550107
9979,nm1212722,Benedict Cumberbatch,0.001011663889550107
1181,nm0935653,Ray Winstone,0.001011663889550107
6947,nm0666739,Aaron Paul,0.001011663889550107
3570,nm0939697,Evan Rachel Wood,0.001011663889550107
10532,nm1680142,Najarra Townsend,0.001011663889550107
2161,nm0929489,Tom Wilkinson,0.001011663889550107
9559,nm2698115,Lindsay Burdge,0.001011663889550107
7733,nm0973177,Kyle Gallner,0.001011663889550107
167,nm0001082,Billy Crudup,0.001011663889550107
12214,nm4131336,Rachel Alig,0.001011663889550107
8227,nm0712433,Ravi Teja,0.001011663889550107
10827,nm1334389,Jayasurya,0.001011663889550107
513,nm0000367,Gérard Depardieu,0.0009819090692692216
7270,nm2946456,Jamal Woolard,0.0009819090692692216
9506,nm2496992,Ajay,0.0009819090692692216
9629,nm2225369,Jennifer Lawrence,0.0009819090692692216
930,nm0004875,Taye Diggs,0.0009819090692692216
998,nm0000337,Rachael Leigh Cook,0.0009819090692692216
4953,nm0670408,Simon Pegg,0.0009819090692692216
319,nm0001794,Henry Thomas,0.0009819090692692216
325,nm0451321,Shah Rukh Khan,0.0009819090692692216
5069,nm0293509,Martin Freeman,0.0009819090692692216
626,nm0005517,Gabrielle Union,0.0009819090692692216
5622,nm0811242,Brittany Snow,0.0009819090692692216
1364,nm0000335,Glenn Close,0.0009819090692692216
352,nm0002101,Robin Givens,0.0009819090692692216
10518,nm2943385,Augie Duke,0.0009819090692692216
1324,nm0000313,Jeff Bridges,0.0009819090692692216
6973,nm1782299,Imogen Poots,0.0009819090692692216
741,nm0001099,Jeff Daniels,0.0009819090692692216
694,nm0000604,John C. Reilly,0.0009819090692692216
515,nm0000982,Josh Brolin,0.0009819090692692216
4816,nm1325419,Kristen Wiig,0.0009819090692692216
4871,nm1417314,Vikram,0.0009819090692692216
1826,nm0004335,Hrithik Roshan,0.0009819090692692216
800,nm0126284,Rose Byrne,0.0009819090692692216
749,nm0000906,Annette Bening,0.0009819090692692216
1817,nm0854702,Lew Temple,0.0009819090692692216
5903,nm1312575,Olivia Wilde,0.0009819090692692216
7346,nm0015459,Nagarjuna Akkineni,0.0009819090692692216
74,nm0004695,Jessica Alba,0.0009819090692692216
613,nm0004286,Clifton Collins Jr.,0.0009819090692692216
1320,nm0502671,Joshua Leonard,0.0009819090692692216
10201,nm0090283,Kunchacko Boban,0.0009819090692692216
1984,nm0712546,Paresh Rawal,0.0009521542489883361
2427,nm0378245,Taraji P. Henson,0.0009521542489883361
